D,W,A
0.433953,0.0294222,0.225706
0.433953,0.0294243,0.225902
0.434122,0.0294305,0.226069
0.434122,0.0294489,0.226102
0.434122,0.0294636,0.226186
0.434122,0.0295129,0.226291
0.434234,0.0295132,0.226333
0.434234,0.0295144,0.226385
0.434234,0.0295258,0.226415
0.434234,0.029527,0.226473
0.435161,0.0295436,0.226556
0.435161,0.0295618,0.226565
0.435161,0.029567,0.226572
0.435161,0.0295761,0.226582
0.435161,0.0295788,0.226589
0.435161,0.0295791,0.226662
0.435172,0.0295858,0.226685
0.435172,0.029586,0.226706
0.435172,0.0295934,0.226727
0.435172,0.0295936,0.226868
0.435347,0.0295984,0.226893
0.435632,0.0296022,0.226904
0.435632,0.0296074,0.226909
0.435632,0.0296082,0.226912
0.435632,0.0296101,0.227075
0.435632,0.0296139,0.227122
0.435632,0.0296237,0.227137
0.435632,0.0296238,0.227151
0.435632,0.0296366,0.227161
0.435656,0.0296401,0.227341
0.435656,0.0296512,0.227407
0.435656,0.0296563,0.227425
0.435712,0.0296772,0.22743
0.43573,0.0296796,0.227435
0.43573,0.02968,0.227469
0.43573,0.0296846,0.227472
0.43573,0.0296924,0.22755
0.43573,0.0297004,0.227563
0.435849,0.029709,0.227636
0.435849,0.029713,0.22779
0.435849,0.0297206,0.227954
0.435849,0.0297286,0.228001
0.435849,0.0297287,0.22807
0.436,0.0297346,0.228185
0.436,0.0297552,0.228222
0.436113,0.029794,0.228268
0.436113,0.0297955,0.228295
0.436759,0.0298055,0.228302
0.436871,0.0298211,0.228334
0.436871,0.0298223,0.228425
0.436871,0.0298283,0.228675
0.436871,0.0298306,0.228735
0.436871,0.0298462,0.228737
0.436871,0.0298614,0.228786
0.436871,0.0298685,0.228804
0.436871,0.029894,0.228833
0.436871,0.0298966,0.228952
0.436871,0.0299134,0.229044
0.436871,0.0299213,0.229077
0.436871,0.0299439,0.229244
0.437022,0.0299517,0.229301
0.437022,0.0299521,0.229323
0.437022,0.0299546,0.229353
0.437022,0.0299616,0.22936
0.437022,0.029986,0.229364
0.437022,0.0299919,0.22937
0.437142,0.0299956,0.22943
0.437142,0.0300046,0.229486
0.437142,0.0300047,0.229582
0.437142,0.0300075,0.229622
0.437215,0.0300227,0.229695
0.437215,0.0300229,0.229703
0.437215,0.030023,0.229727
0.437215,0.0300534,0.229913
0.43724,0.0300605,0.229924
0.43724,0.0300671,0.22995
0.437524,0.0300721,0.230017
0.4377,0.0300761,0.230047
0.4377,0.0300764,0.230138
0.4377,0.0300843,0.230203
0.437711,0.0300931,0.230209
0.437711,0.0300941,0.230285
0.437711,0.0300964,0.230453
0.437711,0.0301006,0.230529
0.437711,0.0301143,0.230675
0.437711,0.0301174,0.230798
0.438638,0.0301175,0.230848
0.43875,0.0301246,0.230928
0.43875,0.0301263,0.230944
0.43875,0.0301297,0.230984
0.43875,0.0301359,0.231067
0.438919,0.03014,0.231072
0.438919,0.0301413,0.231099
0.438919,0.030168,0.23112
0.439203,0.0301709,0.231139
0.439203,0.030178,0.231162
0.439203,0.0301808,0.231163
0.439203,0.0301825,0.231205
0.439203,0.0301881,0.23127
0.439203,0.0301912,0.23129
0.439203,0.0301979,0.231295
0.439638,0.0301991,0.231367
0.439638,0.0301992,0.231519
0.439638,0.0302221,0.231597
0.439638,0.0302257,0.231627
0.439652,0.0302262,0.23164
0.439652,0.0302285,0.231651
0.439716,0.0302368,0.231655
0.439716,0.0302407,0.231674
0.439716,0.0302488,0.231679
0.439831,0.030269,0.231702
0.439831,0.0302721,0.231714
0.440074,0.0302754,0.231736
0.440074,0.0302758,0.231768
0.440074,0.0302787,0.23178
0.440074,0.0302869,0.231801
0.440074,0.0302933,0.231851
